,film_id,title,release_year,rental_duration,rental_rate,length,replacement_cost,rating,special_features,language,amount,count_payment,category_count,actor_count
31,32,APOCALYPSE FLAMINGOS,2006,6,4.99,119,11.99,R,"Trailers,Commentaries",English             ,30.94,6,1,5.0
32,33,APOLLO TEEN,2006,5,2.99,153,15.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",English             ,,0,1,8.0
33,34,ARABIA DOGMA,2006,6,0.99,62,29.99,NC-17,"Commentaries,Deleted Scenes",English             ,22.87,13,1,12.0
34,35,ARACHNOPHOBIA ROLLERCOASTER,2006,4,2.99,147,24.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes",English             ,114.76,24,1,8.0
35,36,ARGONAUTS TOWN,2006,7,0.99,127,12.99,PG-13,"Trailers,Commentaries",English             ,,0,1,5.0
36,37,ARIZONA BANG,2006,3,2.99,121,28.99,PG,"Trailers,Deleted Scenes",English             ,104.79,21,1,4.0
37,38,ARK RIDGEMONT,2006,6,0.99,68,25.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",English             ,,0,1,3.0
38,39,ARMAGEDDON LOST,2006,5,0.99,99,10.99,G,Trailers,English             ,45.79,21,1,7.0
39,40,ARMY FLINTSTONES,2006,4,0.99,148,22.99,R,"Trailers,Commentaries",English             ,41.84,16,1,7.0
40,41,ARSENIC INDEPENDENCE,2006,4,0.99,137,17.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",English             ,,0,1,3.0
41,42,ARTIST COLDBLOODED,2006,5,2.99,170,10.99,NC-17,"Trailers,Behind the Scenes",English             ,69.84,16,1,7.0
42,43,ATLANTIS CAUSE,2006,6,2.99,170,15.99,G,Behind the Scenes,English             ,87.76,24,1,9.0
43,44,ATTACKS HATE,2006,5,4.99,113,21.99,PG-13,"Trailers,Behind the Scenes",English             ,101.84,16,1,4.0
44,45,ATTRACTION NEWTON,2006,5,4.99,83,14.99,PG-13,"Trailers,Behind the Scenes",English             ,146.76,24,1,4.0
45,46,AUTUMN CROW,2006,3,4.99,108,13.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",English             ,84.89,11,1,3.0
46,47,BABY HALL,2006,5,4.99,153,23.99,NC-17,Commentaries,English             ,45.92,8,1,8.0
47,48,BACKLASH UNDEFEATED,2006,3,4.99,118,24.99,PG-13,"Trailers,Behind the Scenes",English             ,158.81,19,1,7.0
48,49,BADMAN DAWN,2006,6,2.99,162,22.99,R,"Trailers,Commentaries,Behind the Scenes",English             ,76.79,21,1,8.0
49,50,BAKED CLEOPATRA,2006,3,2.99,182,20.99,G,"Commentaries,Behind the Scenes",English             ,79.84,16,1,1.0
50,51,BALLOON HOMEWARD,2006,5,2.99,75,10.99,NC-17,Deleted Scenes,English             ,98.77,23,1,6.0
51,52,BALLROOM MOCKINGBIRD,2006,6,0.99,173,29.99,G,"Commentaries,Deleted Scenes",English             ,10.92,8,1,7.0
52,53,BANG KWAI,2006,5,2.99,87,25.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,22.93,7,1,7.0
53,54,BANGER PINOCCHIO,2006,5,0.99,113,15.99,R,"Trailers,Commentaries,Deleted Scenes",English             ,42.78,22,1,6.0
54,55,BARBARELLA STREETCAR,2006,6,2.99,65,27.99,G,Behind the Scenes,English             ,96.75,25,1,5.0
55,56,BAREFOOT MANCHURIAN,2006,6,2.99,129,15.99,G,"Trailers,Commentaries",English             ,66.82,18,1,8.0
56,57,BASIC EASY,2006,4,2.99,90,18.99,PG-13,Deleted Scenes,English             ,90.79,21,1,6.0
57,58,BEACH HEARTBREAKERS,2006,6,2.99,122,16.99,G,"Deleted Scenes,Behind the Scenes",English             ,64.83,17,1,7.0
58,59,BEAR GRACELAND,2006,4,2.99,160,20.99,R,Deleted Scenes,English             ,107.78,22,1,3.0
59,60,BEAST HUNCHBACK,2006,3,4.99,89,22.99,R,"Deleted Scenes,Behind the Scenes",English             ,76.89,11,1,5.0
60,61,BEAUTY GREASE,2006,5,4.99,175,28.99,G,"Trailers,Commentaries",English             ,132.78,22,1,5.0
61,62,BED HIGHBALL,2006,5,2.99,106,23.99,NC-17,"Trailers,Commentaries,Deleted Scenes",English             ,24.94,6,1,5.0
62,63,BEDAZZLED MARRIED,2006,6,0.99,73,21.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",English             ,16.87,13,1,7.0
63,64,BEETHOVEN EXORCIST,2006,6,0.99,151,26.99,PG-13,"Commentaries,Behind the Scenes",English             ,16.89,11,1,6.0
64,65,BEHAVIOR RUNAWAY,2006,3,4.99,100,20.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",English             ,100.87,13,1,5.0
65,66,BENEATH RUSH,2006,6,0.99,53,27.99,NC-17,"Commentaries,Deleted Scenes",English             ,16.9,10,1,7.0
66,67,BERETS AGENT,2006,5,2.99,77,24.99,PG-13,Deleted Scenes,English             ,78.78,21,1,10.0
67,68,BETRAYED REAR,2006,5,4.99,122,26.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,91.85,15,1,4.0
68,69,BEVERLY OUTLAW,2006,3,2.99,85,21.99,R,Trailers,English             ,115.79,21,1,4.0
69,70,BIKINI BORROWERS,2006,7,4.99,142,26.99,NC-17,"Commentaries,Deleted Scenes",English             ,98.83,17,1,2.0
70,71,BILKO ANONYMOUS,2006,3,4.99,100,25.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,102.87,13,1,3.0
71,72,BILL OTHERS,2006,6,2.99,93,12.99,PG,"Trailers,Commentaries",English             ,67.81,19,1,6.0
72,73,BINGO TALENTED,2006,5,2.99,150,22.99,PG-13,"Trailers,Commentaries",English             ,131.71,29,1,5.0
73,74,BIRCH ANTITRUST,2006,4,4.99,162,18.99,PG,"Trailers,Commentaries,Deleted Scenes",English             ,74.89,11,1,6.0
74,75,BIRD INDEPENDENCE,2006,6,4.99,163,14.99,G,"Commentaries,Behind the Scenes",English             ,63.89,11,1,2.0
75,76,BIRDCAGE CASPER,2006,4,0.99,103,23.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,23.91,9,1,4.0
76,77,BIRDS PERDITION,2006,5,4.99,61,15.99,G,"Trailers,Behind the Scenes",English             ,111.82,18,1,4.0
77,78,BLACKOUT PRIVATE,2006,7,2.99,85,12.99,PG,"Trailers,Deleted Scenes",English             ,91.73,27,1,5.0
78,79,BLADE POLISH,2006,5,0.99,114,10.99,PG-13,"Trailers,Behind the Scenes",English             ,34.79,22,1,5.0
79,80,BLANKET BEVERLY,2006,7,2.99,148,21.99,G,Trailers,English             ,40.88,12,1,4.0
80,81,BLINDNESS GUN,2006,6,4.99,103,29.99,PG-13,"Trailers,Behind the Scenes",English             ,76.86,14,1,3.0
81,82,BLOOD ARGONAUTS,2006,3,0.99,71,13.99,G,"Trailers,Commentaries,Behind the Scenes",English             ,38.9,10,1,4.0
82,83,BLUES INSTINCT,2006,5,2.99,50,18.99,G,"Trailers,Deleted Scenes,Behind the Scenes",English             ,84.79,21,1,4.0
83,84,BOILED DARES,2006,7,4.99,102,13.99,PG,"Trailers,Commentaries",English             ,77.85,15,1,8.0
84,85,BONNIE HOLOCAUST,2006,4,0.99,63,29.99,G,Deleted Scenes,English             ,32.84,16,1,9.0
85,86,BOOGIE AMELIE,2006,6,4.99,121,11.99,R,"Commentaries,Behind the Scenes",English             ,163.7,29,1,6.0
86,87,BOONDOCK BALLROOM,2006,7,0.99,76,14.99,NC-17,Behind the Scenes,English             ,,0,1,13.0
87,88,BORN SPINAL,2006,7,4.99,179,17.99,PG,"Trailers,Commentaries,Deleted Scenes",English             ,59.88,12,1,9.0
88,89,BORROWERS BEDAZZLED,2006,7,0.99,63,22.99,G,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,27.78,22,1,7.0
89,90,BOULEVARD MOB,2006,3,0.99,63,11.99,R,Trailers,English             ,63.82,18,1,8.0
90,91,BOUND CHEAPER,2006,5,0.99,98,17.99,PG,Behind the Scenes,English             ,50.76,24,1,2.0
91,92,BOWFINGER GABLES,2006,7,4.99,72,19.99,NC-17,"Trailers,Deleted Scenes",English             ,56.89,11,1,5.0
92,93,BRANNIGAN SUNRISE,2006,4,4.99,121,27.99,PG,Trailers,English             ,74.88,12,1,2.0
93,94,BRAVEHEART HUMAN,2006,7,2.99,176,14.99,PG-13,"Trailers,Deleted Scenes",English             ,16.95,5,1,4.0
94,95,BREAKFAST GOLDFINGER,2006,5,4.99,123,18.99,G,"Trailers,Commentaries,Deleted Scenes",English             ,109.83,17,1,5.0
95,96,BREAKING HOME,2006,4,2.99,169,21.99,PG-13,"Trailers,Commentaries",English             ,51.87,13,1,6.0
96,97,BRIDE INTRIGUE,2006,7,0.99,56,24.99,G,"Trailers,Commentaries,Behind the Scenes",English             ,21.81,19,1,1.0
97,98,BRIGHT ENCOUNTERS,2006,4,4.99,73,12.99,PG-13,Trailers,English             ,92.87,13,1,4.0
98,99,BRINGING HYSTERICAL,2006,7,2.99,136,14.99,PG,Trailers,English             ,71.8,20,1,2.0
99,100,BROOKLYN DESERT,2006,7,4.99,161,21.99,R,Commentaries,English             ,116.79,21,1,5.0
100,101,BROTHERHOOD BLANKET,2006,3,0.99,73,26.99,R,Behind the Scenes,English             ,101.74,26,1,5.0
101,102,BUBBLE GROSSE,2006,4,4.99,60,20.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",English             ,35.94,6,1,3.0
102,103,BUCKET BROTHERHOOD,2006,7,4.99,133,27.99,PG,"Commentaries,Deleted Scenes",English             ,180.66,34,1,6.0
103,104,BUGSY SONG,2006,4,2.99,119,17.99,G,Commentaries,English             ,55.89,11,1,2.0
104,105,BULL SHAWSHANK,2006,6,0.99,125,21.99,NC-17,Deleted Scenes,English             ,21.84,16,1,8.0
105,106,BULWORTH COMMANDMENTS,2006,4,2.99,61,14.99,G,Trailers,English             ,32.93,7,1,4.0
106,107,BUNCH MINDS,2006,4,2.99,63,13.99,G,Behind the Scenes,English             ,25.95,5,1,8.0
107,108,BUTCH PANTHER,2006,6,0.99,67,19.99,PG-13,"Trailers,Commentaries,Deleted Scenes",English             ,,0,1,3.0
108,109,BUTTERFLY CHOCOLAT,2006,3,0.99,89,17.99,G,Behind the Scenes,English             ,123.7,30,1,7.0
109,182,CONTROL ANTHEM,2006,7,4.99,185,9.99,G,Commentaries,English             ,36.93,7,1,3.0
110,110,CABIN FLASH,2006,4,0.99,53,25.99,NC-17,"Commentaries,Deleted Scenes",English             ,40.85,15,1,4.0
111,111,CADDYSHACK JEDI,2006,3,0.99,52,17.99,NC-17,"Commentaries,Deleted Scenes",English             ,51.84,16,1,7.0
112,112,CALENDAR GUNFIGHT,2006,4,4.99,120,22.99,NC-17,"Trailers,Commentaries,Behind the Scenes",English             ,141.79,21,1,8.0
113,113,CALIFORNIA BIRDS,2006,4,4.99,75,19.99,NC-17,"Trailers,Commentaries,Deleted Scenes",English             ,83.88,12,1,2.0
114,114,CAMELOT VACATION,2006,3,0.99,61,26.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",English             ,101.73,27,1,2.0
115,115,CAMPUS REMEMBER,2006,5,2.99,167,27.99,R,Behind the Scenes,English             ,90.81,19,1,3.0
116,116,CANDIDATE PERDITION,2006,4,2.99,70,10.99,R,"Deleted Scenes,Behind the Scenes",English             ,96.81,18,1,4.0
117,117,CANDLES GRAPES,2006,6,4.99,135,15.99,NC-17,"Trailers,Deleted Scenes",English             ,128.77,23,1,7.0
118,118,CANYON STOCK,2006,7,0.99,85,26.99,R,"Trailers,Deleted Scenes",English             ,27.81,19,1,6.0
119,119,CAPER MOTIONS,2006,6,0.99,176,22.99,G,"Trailers,Commentaries,Deleted Scenes",English             ,38.76,24,1,7.0
120,120,CARIBBEAN LIBERTY,2006,3,4.99,92,16.99,NC-17,"Commentaries,Deleted Scenes",English             ,71.91,9,1,8.0
121,121,CAROL TEXAS,2006,4,2.99,151,15.99,PG,"Trailers,Behind the Scenes",English             ,83.82,18,1,7.0
122,122,CARRIE BUNCH,2006,7,0.99,114,11.99,PG,"Trailers,Commentaries,Behind the Scenes",English             ,34.77,23,1,7.0
123,123,CASABLANCA SUPER,2006,6,4.99,85,22.99,G,"Trailers,Deleted Scenes,Behind the Scenes",English             ,82.84,16,1,4.0
124,124,CASPER DRAGONFLY,2006,3,4.99,163,16.99,PG-13,Trailers,English             ,52.92,8,1,5.0
125,125,CASSIDY WYOMING,2006,5,2.99,61,19.99,NC-17,"Commentaries,Behind the Scenes",English             ,23.94,6,1,7.0
126,126,CASUALTIES ENCINO,2006,3,4.99,179,16.99,G,Trailers,English             ,72.91,9,1,5.0
127,127,CAT CONEHEADS,2006,5,4.99,112,14.99,G,"Commentaries,Deleted Scenes",English             ,181.7,30,1,4.0
128,128,CATCH AMISTAD,2006,7,0.99,183,10.99,G,"Trailers,Behind the Scenes",English             ,,0,1,5.0
129,129,CAUSE DATE,2006,3,2.99,179,16.99,R,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,128.79,21,1,6.0
130,130,CELEBRITY HORN,2006,7,0.99,110,24.99,PG-13,"Deleted Scenes,Behind the Scenes",English             ,32.76,24,1,4.0
131,131,CENTER DINOSAUR,2006,5,4.99,152,12.99,PG,Deleted Scenes,English             ,137.76,24,1,4.0
132,132,CHAINSAW UPTOWN,2006,6,0.99,114,25.99,PG,"Deleted Scenes,Behind the Scenes",English             ,33.79,21,1,2.0
133,133,CHAMBER ITALIAN,2006,7,4.99,117,14.99,NC-17,Trailers,English             ,65.88,13,1,7.0
134,134,CHAMPION FLATLINERS,2006,4,4.99,51,21.99,PG,Trailers,English             ,85.87,13,1,4.0
135,135,CHANCE RESURRECTION,2006,3,2.99,70,22.99,R,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,141.73,27,1,6.0
136,136,CHAPLIN LICENSE,2006,7,2.99,146,26.99,NC-17,Behind the Scenes,English             ,23.92,8,1,6.0
137,137,CHARADE DUFFEL,2006,3,2.99,66,21.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",English             ,80.85,15,1,3.0
138,138,CHARIOTS CONSPIRACY,2006,5,2.99,71,29.99,R,"Deleted Scenes,Behind the Scenes",English             ,71.79,21,1,2.0
139,139,CHASING FIGHT,2006,7,4.99,114,21.99,PG,"Trailers,Commentaries",English             ,110.81,20,1,5.0
140,140,CHEAPER CLYDE,2006,6,0.99,87,23.99,G,"Trailers,Commentaries,Behind the Scenes",English             ,36.8,20,1,2.0
141,141,CHICAGO NORTH,2006,6,4.99,185,11.99,PG-13,"Deleted Scenes,Behind the Scenes",English             ,89.84,16,1,8.0
142,142,CHICKEN HELLFIGHTERS,2006,3,0.99,122,24.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",English             ,68.78,22,1,2.0
143,143,CHILL LUCK,2006,6,0.99,142,17.99,PG,"Trailers,Commentaries,Deleted Scenes",English             ,32.78,22,1,5.0
144,144,CHINATOWN GLADIATOR,2006,7,4.99,61,24.99,PG,"Trailers,Commentaries,Deleted Scenes",English             ,,0,1,10.0
145,145,CHISUM BEHAVIOR,2006,5,4.99,124,25.99,G,"Trailers,Commentaries,Behind the Scenes",English             ,73.87,13,1,4.0
146,146,CHITTY LOCK,2006,6,2.99,107,24.99,G,Commentaries,English             ,28.92,8,1,13.0
147,147,CHOCOLAT HARRY,2006,5,0.99,101,16.99,NC-17,"Commentaries,Behind the Scenes",English             ,52.8,20,1,5.0
148,148,CHOCOLATE DUCK,2006,3,2.99,132,13.99,R,"Trailers,Commentaries,Behind the Scenes",English             ,,0,1,7.0
149,149,CHRISTMAS MOONSHINE,2006,7,0.99,150,21.99,NC-17,"Trailers,Commentaries,Behind the Scenes",English             ,28.79,21,1,3.0
150,150,CIDER DESIRE,2006,7,2.99,101,9.99,PG,Behind the Scenes,English             ,62.81,19,1,5.0
151,151,CINCINATTI WHISPERER,2006,5,4.99,143,26.99,NC-17,Deleted Scenes,English             ,87.87,13,1,4.0
152,152,CIRCUS YOUTH,2006,5,2.99,90,13.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes",English             ,60.85,15,1,2.0
153,153,CITIZEN SHREK,2006,7,0.99,165,18.99,G,"Commentaries,Deleted Scenes",English             ,21.87,13,1,8.0
154,154,CLASH FREDDY,2006,6,2.99,81,12.99,G,"Commentaries,Deleted Scenes",English             ,85.75,25,1,7.0
155,155,CLEOPATRA DEVIL,2006,6,0.99,150,26.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes",English             ,29.83,18,1,7.0
156,156,CLERKS ANGELS,2006,3,4.99,164,15.99,G,Commentaries,English             ,50.93,7,1,4.0
157,157,CLOCKWORK PARADISE,2006,7,0.99,143,29.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",English             ,11.9,10,1,5.0
158,158,CLONES PINOCCHIO,2006,6,2.99,124,16.99,R,Behind the Scenes,English             ,65.81,19,1,5.0
159,159,CLOSER BANG,2006,5,4.99,58,12.99,R,"Trailers,Behind the Scenes",English             ,172.72,28,1,6.0
160,160,CLUB GRAFFITI,2006,4,0.99,65,12.99,PG-13,"Trailers,Deleted Scenes",English             ,44.8,19,1,4.0
161,161,CLUE GRAIL,2006,6,4.99,70,27.99,NC-17,"Trailers,Commentaries,Behind the Scenes",English             ,40.93,7,1,6.0
162,162,CLUELESS BUCKET,2006,4,2.99,95,13.99,R,"Trailers,Deleted Scenes,Behind the Scenes",English             ,112.75,25,1,8.0
163,163,CLYDE THEORY,2006,4,0.99,139,29.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,23.92,8,1,4.0
164,164,COAST RAINBOW,2006,4,0.99,55,20.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",English             ,42.79,21,1,10.0
165,165,COLDBLOODED DARLING,2006,7,4.99,70,27.99,G,"Trailers,Deleted Scenes",English             ,89.84,16,1,4.0
166,166,COLOR PHILADELPHIA,2006,6,2.99,149,19.99,G,"Commentaries,Behind the Scenes",English             ,93.76,24,1,7.0
167,167,COMA HEAD,2006,6,4.99,109,10.99,NC-17,Commentaries,English             ,137.74,26,1,3.0
168,168,COMANCHEROS ENEMY,2006,5,0.99,67,23.99,R,"Trailers,Behind the Scenes",English             ,9.94,6,1,5.0
169,169,COMFORTS RUSH,2006,3,2.99,76,19.99,NC-17,"Commentaries,Behind the Scenes",English             ,84.83,17,1,5.0
170,170,COMMAND DARLING,2006,5,4.99,120,28.99,PG-13,Behind the Scenes,English             ,107.84,16,1,8.0
171,171,COMMANDMENTS EXPRESS,2006,6,4.99,59,13.99,R,"Trailers,Commentaries,Deleted Scenes",English             ,,0,1,4.0
172,172,CONEHEADS SMOOCHY,2006,7,4.99,112,12.99,NC-17,"Deleted Scenes,Behind the Scenes",English             ,136.75,25,1,9.0
173,173,CONFESSIONS MAGUIRE,2006,7,4.99,65,25.99,PG-13,Behind the Scenes,English             ,75.86,14,1,4.0
174,174,CONFIDENTIAL INTERVIEW,2006,6,4.99,180,13.99,NC-17,Commentaries,English             ,164.71,29,1,2.0
175,175,CONFUSED CANDLES,2006,3,2.99,122,27.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",English             ,102.83,17,1,6.0
176,176,CONGENIALITY QUEST,2006,6,0.99,87,21.99,PG-13,"Commentaries,Behind the Scenes",English             ,39.78,22,1,3.0
177,177,CONNECTICUT TRAMP,2006,4,4.99,172,20.99,R,"Commentaries,Deleted Scenes",English             ,90.87,13,1,7.0
178,178,CONNECTION MICROCOSMOS,2006,6,0.99,115,25.99,G,"Deleted Scenes,Behind the Scenes",English             ,10.93,7,1,7.0
179,179,CONQUERER NUTS,2006,4,4.99,173,14.99,G,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,99.84,16,1,6.0
180,180,CONSPIRACY SPIRIT,2006,4,2.99,184,27.99,PG-13,"Trailers,Commentaries",English             ,16.95,5,1,4.0
181,181,CONTACT ANONYMOUS,2006,7,2.99,166,10.99,PG-13,Commentaries,English             ,85.74,26,1,5.0
182,183,CONVERSATION DOWNHILL,2006,4,4.99,112,14.99,R,Commentaries,English             ,114.83,17,1,3.0
183,184,CORE SUIT,2006,3,2.99,92,24.99,PG-13,Deleted Scenes,English             ,103.82,18,1,4.0
184,185,COWBOY DOOM,2006,3,2.99,146,10.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,28.93,7,1,5.0
185,186,CRAFT OUTFIELD,2006,6,0.99,64,17.99,NC-17,"Deleted Scenes,Behind the Scenes",English             ,20.84,16,1,6.0
186,187,CRANES RESERVOIR,2006,5,2.99,57,12.99,NC-17,Commentaries,English             ,42.89,11,1,6.0
187,188,CRAZY HOME,2006,7,2.99,136,24.99,PG,"Commentaries,Deleted Scenes",English             ,26.91,9,1,13.0
188,189,CREATURES SHAKESPEARE,2006,3,0.99,139,23.99,NC-17,"Trailers,Deleted Scenes",English             ,56.84,16,1,3.0
189,190,CREEPERS KANE,2006,5,4.99,172,23.99,NC-17,"Trailers,Behind the Scenes",English             ,82.86,14,1,6.0
190,191,CROOKED FROGMEN,2006,6,0.99,143,27.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,41.77,23,1,6.0
191,192,CROSSING DIVORCE,2006,4,4.99,50,19.99,R,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,,0,1,2.0
192,193,CROSSROADS CASUALTIES,2006,5,2.99,153,20.99,G,"Trailers,Commentaries,Behind the Scenes",English             ,77.79,21,1,8.0
193,194,CROW GREASE,2006,6,0.99,104,22.99,PG,"Trailers,Commentaries,Behind the Scenes",English             ,18.88,12,1,10.0
194,195,CROWDS TELEMARK,2006,3,4.99,112,16.99,R,"Trailers,Behind the Scenes",English             ,,0,1,4.0
195,196,CRUELTY UNFORGIVEN,2006,7,0.99,69,29.99,G,"Deleted Scenes,Behind the Scenes",English             ,7.93,7,1,2.0
196,197,CRUSADE HONEY,2006,4,2.99,112,27.99,R,Commentaries,English             ,47.92,8,1,9.0
197,198,CRYSTAL BREAKING,2006,6,2.99,184,22.99,NC-17,"Trailers,Commentaries",English             ,,0,1,5.0
198,199,CUPBOARD SINNERS,2006,4,2.99,56,29.99,R,Behind the Scenes,English             ,106.77,23,1,8.0
199,200,CURTAIN VIDEOTAPE,2006,7,0.99,133,27.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",English             ,38.74,27,1,3.0
200,201,CYCLONE FAMILY,2006,7,2.99,176,18.99,PG,"Trailers,Deleted Scenes",English             ,48.86,15,1,3.0
201,202,DADDY PITTSBURGH,2006,5,4.99,161,26.99,G,"Deleted Scenes,Behind the Scenes",English             ,75.87,13,1,5.0
202,203,DAISY MENAGERIE,2006,5,4.99,84,9.99,G,"Trailers,Commentaries,Behind the Scenes",English             ,95.84,16,1,7.0
203,204,DALMATIONS SWEDEN,2006,4,0.99,106,25.99,PG,"Trailers,Commentaries,Deleted Scenes",English             ,58.8,20,1,6.0
204,205,DANCES NONE,2006,3,0.99,58,22.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",English             ,31.86,14,1,5.0
205,206,DANCING FEVER,2006,6,0.99,144,25.99,G,"Commentaries,Behind the Scenes",English             ,55.73,27,1,6.0
206,207,DANGEROUS UPTOWN,2006,7,4.99,121,26.99,PG,Commentaries,English             ,66.88,12,1,8.0
207,208,DARES PLUTO,2006,7,2.99,89,16.99,PG-13,"Commentaries,Behind the Scenes",English             ,29.91,9,1,10.0
